identifier, reads, source
nc_008253,PRJNA16235,ingle2016
nc_013364,PRJDA32513,ingle2016
nc_013361,PRJDA32509,ingle2016
nc_013353,PRJDA32511,ingle2016
aakb00000000,PRJNA15639,ingle2016
nc_011748,PRJNA33413,ingle2016
aamk00000000,PRJNA16193,ingle2016
2009EL,CP003297,ingle2016?
2362-75,ADUL01000000,ingle2016?
86-24,AIAK00000000,ingle2016?
ABU83972,NC_017631,ingle2016?
APEC_O78, CP004009,ingle2016?
APEC01,NC_008563,ingle2016?
ATCC8739,NC_010468,ingle2016?
B_REL606,NC_012967,ingle2016?
aajx00000000,PRJNA15630,ingle2016
B7A,AAJT02000000,ingle2016?
BL21-DE3,NC_012971,ingle2016?
BL21-Gold,NC_012947,ingle2016?
nc_012759,PRJNA33775,ingle2016
C12-92,AIAE00000000,ingle2016?
C1214-90,AIAC00000000,ingle2016?
C1244-91,AIAD00000000,ingle2016?
C154-11,AIAF00000000,ingle2016?
C155-11,AIAG00000000,ingle2016?
C157-11,AIAH00000000,ingle2016?
C161-11,AIAI00000000,ingle2016?
C166-11,AICF00000000,ingle2016?
C170-11,AIAJ00000000,ingle2016?
C213-10,AIAL00000000,ingle2016?
C2139-99,AIAM00000000,ingle2016?
C238-91,AIAN00000000,ingle2016?
C260-92,AIAO00000000,ingle2016?
C262-10,AIAP00000000,ingle2016?
C283-09,AIAQ00000000,ingle2016?
C295-10,AIAR00000000,ingle2016?
C341-10,AIAS00000000,ingle2016?
C342-62,SRS085190,ingle2016?
C343-08,AIAT00000000,ingle2016?
C347-93,AIAU00000000,ingle2016?
C353-09,AIAV00000000,ingle2016?
C354-03B,AIAW00000000,ingle2016?
C40-11,AIAX00000000,ingle2016?
C418-89,AIAY00000000,ingle2016?
C458-10,AIAZ00000000,ingle2016?
C488-07,AIBA00000000,ingle2016?
C496-10,AIBB00000000,ingle2016?
C497-10,AIBC00000000,ingle2016?
C527-94,AIBD00000000,ingle2016?
C58-11,AIBF00000000,ingle2016?
C581-05,AIBE00000000,ingle2016?
C586-05,AIBG00000000,ingle2016?
C639-08,AIBH00000000,ingle2016?
C652-10,AIBI00000000,ingle2016?
C654-09,AIBJ00000000,ingle2016?
C717-10,AIBK00000000,ingle2016?
C725-88,AIBL00000000,ingle2016?
C732-98,AIBM00000000,ingle2016?
C743-03,AIBN00000000,ingle2016?
C751-03,AIBO00000000,ingle2016?
C78-09C,AIBP00000000,ingle2016?
C79-08,AIBQ00000000,ingle2016?
C792-92,AIBR00000000,ingle2016?
C796-10,AIBS00000000,ingle2016?
C799-92,AIBT00000000,ingle2016?
C80-08,AIBU00000000,ingle2016?
C807-09,AIBV00000000,ingle2016?
C82-11,AIBW00000000,ingle2016?
C824-10,AIBX00000000,ingle2016?
C842-97,AIBY00000000,ingle2016?
C844-97,AIBZ00000000,ingle2016?
C87-11,AICA00000000,ingle2016?
C887-10,AICB00000000,ingle2016?
C9-92,AICE00000000,ingle2016?
C900-01,AICC00000000,ingle2016?
C93-11,AICD00000000,ingle2016?
nc_013941,PRJNA42729,ingle2016
nc_017646,PRJNA63597,ingle2016
nc_004431,PRJNA313,ingle2016
cloneDi14,CP002212,ingle2016?
CloneDi2,CP002211,ingle2016?
aigv00000000,PRJNA51011,ingle2016
aigw00000000,PRJNA51013,ingle2016
aigx00000000,PRJNA51015,ingle2016
aigy00000000,PRJNA51017,ingle2016
aigz00000000,PRJNA51019,ingle2016
aiha00000000,PRJNA51021,ingle2016
aihb00000000,PRJNA51023,ingle2016
aihc00000000,PRJNA51025,ingle2016
aihd00000000,PRJNA51027,ingle2016
aihe00000000,PRJNA51029,ingle2016
aiev00000000,PRJNA50903,ingle2016
aiew00000000,PRJNA50905,ingle2016
aiex00000000,PRJNA50907,ingle2016
aiey00000000,PRJNA50909,ingle2016
aiez00000000,PRJNA50911,ingle2016
aifa00000000,PRJNA50913,ingle2016
DEC2B,AJFB00000000,ingle2016?
aifb00000000,PRJNA50917,ingle2016
aifc00000000,PRJNA50919,ingle2016
aifd00000000,PRJNA50921,ingle2016
aifk00000000,PRJNA50935,ingle2016
aifl00000000,PRJNA50937,ingle2016
aifm00000000,PRJNA50939,ingle2016
aifn00000000,PRJNA50941,ingle2016
aifo00000000,PRJNA50943,ingle2016
aifq00000000,PRJNA50947,ingle2016
aifr00000000,PRJNA50949,ingle2016
aifs00000000,PRJNA50951,ingle2016
aift00000000,PRJNA50953,ingle2016
aifu00000000,PRJNA50955,ingle2016
aigk00000000,PRJNA50989,ingle2016
aigl00000000,PRJNA50991,ingle2016
aigm00000000,PRJNA50993,ingle2016
aign00000000,PRJNA50995,ingle2016
aigo00000000,PRJNA50997,ingle2016
nc_017625,PRJNA30031,ingle2016
nc_010473,PRJNA20079,ingle2016
aajw00000000,PRJNA15578,ingle2016
aduo00000000,PRJNA40269,ingle2016
aajv00000000,PRJNA15577,ingle2016
nc_011601,PRJEA32571,ingle2016
nc_009801,PRJNA13960,ingle2016
nc_011353,PRJNA27739,ingle2016
nc_011745,PRJNA33409,ingle2016
nc_002655,PRJNA259,ingle2016
EHEC14,ADUN00000000,ingle2016?
EL-2071,CP003301,ingle2016?
aaju00000000,PRJNA15576,ingle2016
nc_017633,PRJEA42749,ingle2016
HI8,AFDY00000000,ingle2016?
cp000802,PRJNA13959,ingle2016
nc_011741,PRJNA33373,ingle2016
nc_011750,PRJNA59381,ingle2016
nc_017628,PRJNA43693,ingle2016
K12-MDS42,AP012306,ingle2016?
K12-W3110,NC_007779,ingle2016?
nc_016902,PRJNA33875,ingle2016
LF82,NC_011993,ingle2016?
nc_000913,PRJNA57779,ingle2016
NA114,NC_017644,ingle2016?
NRG857C,NC_017634,ingle2016?
O42,NC017626,ingle2016?
aicg00000000,PRJNA81127,ingle2016
aduq00000000,PRJNA40289,ingle2016
p12b,NC_017663,ingle2016?
nc_017656,PRJNA68245,ingle2016
adus00000000,PRJNA40279,ingle2016
S.boydii,NC_007613,ingle2016?
S.dysenteriae,NC_007606,ingle2016?
S.flexneri,NC_008258,ingle2016?
S.flexneri,NC_004337,ingle2016?
S.flexneri,AE014073,ingle2016?
S.sonnei,NC_007384,ingle2016?
S.sonnei,NC_016822,ingle2016?
S.sonnei,NC_010658,ingle2016?
nc_011742,PRJNA33375,ingle2016
SAKAI,NC_002695,ingle2016?
nc_011415,PRJNA18057,ingle2016
nc_013654,PRJDA19053,ingle2016
nc_010498,PRJNA19469,ingle2016
nc_013008,PRJNA30045,ingle2016
TY-2482,AFOG01000000,ingle2016?
nc_017632,PRJNA50883,ingle2016
nc_011751,PRJNA62981,ingle2016
UMNF18,CP002890,ingle2016?
nc_017641,PRJNA42137,ingle2016
UT189,NC007946,ingle2016?
nc_017635,PRJNA48011,ingle2016
nc_017906,PRJNA45823,ingle2016
